Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Post_1w,10,129513,130943,133624,133624,135842,112992,135842,0.000%,.07197,830.92,0.02
TOTAL,10,129513,130943,133624,133624,135842,112992,135842,0.000%,.07197,830.92,0.02
