Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Post_1d,11,5324,5785,7154,7154,7874,2396,7874,0.000%,.15552,372.63,0.05
TOTAL,11,5324,5785,7154,7154,7874,2396,7874,0.000%,.15552,372.63,0.05
