timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1677729912841,1420,Post_1d,200,OK,TestAPI 1-1,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,354,0,29
1677729913843,816,Post_1d,200,OK,TestAPI 1-2,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,329,0,29
1677729914842,910,Post_1d,200,OK,TestAPI 1-3,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,426,0,26
1677729915840,1062,Post_1d,200,OK,TestAPI 1-4,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,271,0,25
1677729916839,749,Post_1d,200,OK,TestAPI 1-5,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,273,0,29
1677729917840,749,Post_1d,200,OK,TestAPI 1-6,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,254,0,27
1677729918840,990,Post_1d,200,OK,TestAPI 1-7,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,268,0,26
1677729919840,855,Post_1d,200,OK,TestAPI 1-8,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,330,0,26
1677729920840,1007,Post_1d,200,OK,TestAPI 1-9,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,326,0,27
1677729921838,1617,Post_1d,200,OK,TestAPI 1-10,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,354,0,27
1677729922840,998,Post_1d,200,OK,TestAPI 1-11,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,369,0,29
1677729923839,924,Post_1d,200,OK,TestAPI 1-12,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,368,0,27
1677729924839,1140,Post_1d,200,OK,TestAPI 1-13,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,237,0,26
1677729925839,898,Post_1d,200,OK,TestAPI 1-14,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,361,0,27
1677729926841,796,Post_1d,200,OK,TestAPI 1-15,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,271,0,27
1677729927846,1490,Post_1d,200,OK,TestAPI 1-16,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,343,0,26
1677729928841,821,Post_1d,200,OK,TestAPI 1-17,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,268,0,30
1677729929839,961,Post_1d,200,OK,TestAPI 1-18,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,428,0,26
1677729930839,1478,Post_1d,200,OK,TestAPI 1-19,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,342,0,25
1677729931839,760,Post_1d,200,OK,TestAPI 1-20,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,247,0,27
1677729932841,871,Post_1d,200,OK,TestAPI 1-21,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,357,0,26
1677729933853,1465,Post_1d,200,OK,TestAPI 1-22,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,324,0,26
1677729934840,835,Post_1d,200,OK,TestAPI 1-23,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,349,0,27
1677729935839,854,Post_1d,200,OK,TestAPI 1-24,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,343,0,27
1677729936841,1455,Post_1d,200,OK,TestAPI 1-25,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,475,0,26
1677729937840,750,Post_1d,200,OK,TestAPI 1-26,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,252,0,29
1677729938841,843,Post_1d,200,OK,TestAPI 1-27,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,350,0,26
1677729939839,1068,Post_1d,200,OK,TestAPI 1-28,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,257,0,27
1677729940839,850,Post_1d,200,OK,TestAPI 1-29,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,363,0,27
1677729941839,907,Post_1d,200,OK,TestAPI 1-30,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,432,0,26
1677729942839,1171,Post_1d,200,OK,TestAPI 1-31,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,666,0,26
1677729943841,927,Post_1d,200,OK,TestAPI 1-32,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,456,0,28
1677729944844,750,Post_1d,200,OK,TestAPI 1-33,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,247,0,27
1677729945839,1024,Post_1d,200,OK,TestAPI 1-34,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,270,0,28
1677729946838,804,Post_1d,200,OK,TestAPI 1-35,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,281,0,32
1677729947840,723,Post_1d,200,OK,TestAPI 1-36,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,250,0,26
1677729948839,863,Post_1d,200,OK,TestAPI 1-37,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,376,0,28
1677729949839,989,Post_1d,200,OK,TestAPI 1-38,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,268,0,26
1677729950840,768,Post_1d,200,OK,TestAPI 1-39,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,259,0,27
1677729951840,757,Post_1d,200,OK,TestAPI 1-40,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,266,0,26
1677729952850,825,Post_1d,200,OK,TestAPI 1-41,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,356,0,26
1677729953838,1821,Post_1d,200,OK,TestAPI 1-42,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,352,0,26
1677729954838,1376,Post_1d,200,OK,TestAPI 1-43,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,463,0,34
1677729955838,818,Post_1d,200,OK,TestAPI 1-44,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,251,0,27
1677729956839,875,Post_1d,200,OK,TestAPI 1-45,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,353,0,25
1677729957839,1516,Post_1d,200,OK,TestAPI 1-46,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,751,0,26
1677729958838,937,Post_1d,200,OK,TestAPI 1-47,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,436,0,26
1677729959839,819,Post_1d,200,OK,TestAPI 1-48,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,349,0,26
1677729960838,1167,Post_1d,200,OK,TestAPI 1-49,text,true,,2453533,303,2,2,http://103.1.238.175:2000/api/social/dataSensor,358,0,26
1677729961839,743,Post_1d,200,OK,TestAPI 1-50,text,true,,2453533,303,1,1,http://103.1.238.175:2000/api/social/dataSensor,255,0,28
