Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Post_1w,50,78168,86630,98358,100345,104151,29420,104151,0.000%,.35377,4084.18,0.10
TOTAL,50,78168,86630,98358,100345,104151,29420,104151,0.000%,.35377,4084.18,0.10
