Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Post_1w,1,19124,19124,19124,19124,19124,19124,19124,0.000%,.05229,603.68,0.02
TOTAL,1,19124,19124,19124,19124,19124,19124,19124,0.000%,.05229,603.68,0.02
