Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Post_1w,1,19124,19124,19124,19124,19124,19124,19124,0.000%,.05229,603.68,0.02
Post_1d,1,2906,2906,2906,2906,2906,2906,2906,0.000%,.34412,824.51,0.10
TOTAL,2,11015,2906,19124,19124,19124,2906,19124,0.000%,.01782,124.19,0.01
