Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get_main,100,246,227,330,589,689,127,727,0.000%,1.00772,33.10,0.11
TOTAL,100,246,227,330,589,689,127,727,0.000%,1.00772,33.10,0.11
