timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1677729058853,444,Get_main,200,OK,TestAPI 1-53,text,true,,84805,117,1,1,http://airsense.vn/map,329,0,26
1677729059854,344,Get_main,200,OK,TestAPI 1-54,text,true,,84805,117,1,1,http://airsense.vn/map,234,0,27
1677729060854,419,Get_main,200,OK,TestAPI 1-55,text,true,,84805,117,1,1,http://airsense.vn/map,246,0,27
1677729061854,218,Get_main,200,OK,TestAPI 1-56,text,true,,84805,117,1,1,http://airsense.vn/map,131,0,27
1677729062854,146,Get_main,200,OK,TestAPI 1-57,text,true,,84805,117,1,1,http://airsense.vn/map,67,0,27
1677729063853,346,Get_main,200,OK,TestAPI 1-58,text,true,,84805,117,1,1,http://airsense.vn/map,224,0,25
1677729064853,345,Get_main,200,OK,TestAPI 1-59,text,true,,84805,117,1,1,http://airsense.vn/map,225,0,26
1677729065854,417,Get_main,200,OK,TestAPI 1-60,text,true,,84805,117,1,1,http://airsense.vn/map,245,0,26
1677729066853,160,Get_main,200,OK,TestAPI 1-61,text,true,,84805,117,1,1,http://airsense.vn/map,81,0,26
1677729067855,162,Get_main,200,OK,TestAPI 1-62,text,true,,84805,117,1,1,http://airsense.vn/map,86,0,27
1677729068856,344,Get_main,200,OK,TestAPI 1-63,text,true,,84805,117,1,1,http://airsense.vn/map,234,0,30
1677729069856,242,Get_main,200,OK,TestAPI 1-64,text,true,,84805,117,1,1,http://airsense.vn/map,123,0,26
1677729070854,418,Get_main,200,OK,TestAPI 1-65,text,true,,84805,117,1,1,http://airsense.vn/map,240,0,26
1677729071860,339,Get_main,200,OK,TestAPI 1-66,text,true,,84805,117,1,1,http://airsense.vn/map,228,0,28
1677729072858,167,Get_main,200,OK,TestAPI 1-67,text,true,,84805,117,1,1,http://airsense.vn/map,89,0,26
1677729073855,317,Get_main,200,OK,TestAPI 1-68,text,true,,84805,117,1,1,http://airsense.vn/map,161,0,26
1677729074855,345,Get_main,200,OK,TestAPI 1-69,text,true,,84805,117,1,1,http://airsense.vn/map,224,0,27
1677729075853,346,Get_main,200,OK,TestAPI 1-70,text,true,,84805,117,1,1,http://airsense.vn/map,234,0,26
1677729076854,345,Get_main,200,OK,TestAPI 1-71,text,true,,84805,117,1,1,http://airsense.vn/map,228,0,26
1677729077854,176,Get_main,200,OK,TestAPI 1-72,text,true,,84805,117,1,1,http://airsense.vn/map,97,0,26
1677729078854,173,Get_main,200,OK,TestAPI 1-73,text,true,,84805,117,1,1,http://airsense.vn/map,92,0,27
1677729079856,317,Get_main,200,OK,TestAPI 1-74,text,true,,84805,117,1,1,http://airsense.vn/map,143,0,26
1677729080855,243,Get_main,200,OK,TestAPI 1-75,text,true,,84805,117,1,1,http://airsense.vn/map,125,0,26
1677729081855,343,Get_main,200,OK,TestAPI 1-76,text,true,,84805,117,1,1,http://airsense.vn/map,227,0,26
1677729082856,316,Get_main,200,OK,TestAPI 1-77,text,true,,84805,117,1,1,http://airsense.vn/map,144,0,26
1677729083856,174,Get_main,200,OK,TestAPI 1-78,text,true,,84805,117,1,1,http://airsense.vn/map,97,0,26
1677729084855,244,Get_main,200,OK,TestAPI 1-79,text,true,,84805,117,1,1,http://airsense.vn/map,133,0,26
1677729085855,243,Get_main,200,OK,TestAPI 1-80,text,true,,84805,117,1,1,http://airsense.vn/map,125,0,26
1677729086855,317,Get_main,200,OK,TestAPI 1-81,text,true,,84805,117,1,1,http://airsense.vn/map,143,0,27
1677729087854,154,Get_main,200,OK,TestAPI 1-82,text,true,,84805,117,1,1,http://airsense.vn/map,80,0,26
1677729088859,155,Get_main,200,OK,TestAPI 1-83,text,true,,84805,117,1,1,http://airsense.vn/map,74,0,27
1677729089856,316,Get_main,200,OK,TestAPI 1-84,text,true,,84805,117,1,1,http://airsense.vn/map,145,0,27
1677729090855,317,Get_main,200,OK,TestAPI 1-85,text,true,,84805,117,1,1,http://airsense.vn/map,142,0,27
1677729091854,245,Get_main,200,OK,TestAPI 1-86,text,true,,84805,117,1,1,http://airsense.vn/map,131,0,25
1677729092855,238,Get_main,200,OK,TestAPI 1-87,text,true,,84805,117,1,1,http://airsense.vn/map,160,0,26
1677729093857,156,Get_main,200,OK,TestAPI 1-88,text,true,,84805,117,1,1,http://airsense.vn/map,77,0,26
1677729094855,317,Get_main,200,OK,TestAPI 1-89,text,true,,84805,117,1,1,http://airsense.vn/map,141,0,26
1677729095854,245,Get_main,200,OK,TestAPI 1-90,text,true,,84805,117,1,1,http://airsense.vn/map,138,0,26
