Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get_main,100,281,316,413,419,546,146,644,0.000%,1.00762,83.45,0.12
TOTAL,100,281,316,413,419,546,146,644,0.000%,1.00762,83.45,0.12
