Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Post_1d,10,1058,874,1460,1460,1746,743,1746,0.000%,1.02638,2459.23,0.30
TOTAL,10,1058,874,1460,1460,1746,743,1746,0.000%,1.02638,2459.23,0.30
