Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Post_1w,10,24033,24031,26476,26476,26883,20426,26883,0.000%,.33300,3844.43,0.10
TOTAL,10,24033,24031,26476,26476,26883,20426,26883,0.000%,.33300,3844.43,0.10
